sex,race,degree,relig,polparty,cappun,tvhours,owngun,gunlaw,age,chldidel
Female,White,Bachelor,Catholic,Democrat,Oppose,2,No,Oppose,50,2
Male,White,HighSchool,Protestant,Democrat,Favor,8,No,Favor,40,3
Male,White,HighSchool,Protestant,Independent,Favor,3,No,Favor,32,1
Female,White,HighSchool,Protestant,Independent,Favor,6,No,Favor,26,2
Male,White,JunColl,Catholic,Independent,Oppose,2,No,Favor,74,3
Female,White,HighSchool,Protestant,Republican,Oppose,1,No,Oppose,20,3
Male,White,JunColl,Protestant,Independent,Favor,3,Yes,Favor,30,2
Male,White,JunColl,Catholic,Republican,Favor,1,Yes,Oppose,28,2
Male,White,NotHs,Protestant,Republican,Favor,5,No,Favor,78,2
Male,White,HighSchool,Other,Independent,Favor,2,No,Favor,22,2
Male,White,Bachelor,Protestant,Independent,Favor,3,No,Oppose,52,2
Female,White,NotHs,Protestant,Republican,Oppose,0,Yes,Oppose,76,6
Female,White,HighSchool,Protestant,Republican,Favor,5,No,Favor,61,2
Female,White,HighSchool,Protestant,Republican,Favor,2,No,Favor,72,4
Male,White,HighSchool,Protestant,Republican,Favor,2,Yes,Oppose,43,2
Male,White,NotHs,Protestant,Independent,Oppose,2,No,Favor,61,2
Female,White,HighSchool,Protestant,Independent,Oppose,3,No,Favor,56,2
Female,White,HighSchool,Other,Independent,Favor,12,No,Favor,21,2
Female,White,Bachelor,Protestant,Republican,Favor,3,Yes,Favor,52,2
Female,White,HighSchool,Protestant,Democrat,Oppose,2,Yes,Favor,46,3
Female,White,NotHs,Catholic,Republican,Favor,1,Yes,Favor,49,2
Male,White,NotHs,Other,Republican,Oppose,3,Yes,Oppose,31,2
Male,White,Bachelor,Protestant,Independent,Favor,4,Yes,Oppose,70,2
Female,White,NotHs,Other,Independent,Favor,4,Yes,Favor,25,3
Female,AfrAm,HighSchool,Protestant,Democrat,Favor,1,No,Favor,19,3
Female,White,HighSchool,Other,Independent,Oppose,1,Yes,Favor,33,3
Female,White,HighSchool,Protestant,Other,Favor,1,Yes,Favor,61,2
Female,White,HighSchool,Protestant,Democrat,Favor,2,No,Favor,73,2
Male,White,NotHs,Protestant,Republican,Oppose,2,Yes,Oppose,67,3
Male,White,Bachelor,Other,Other,Oppose,2,No,Oppose,71,3
Male,White,Bachelor,Other,Independent,Favor,3,No,Favor,25,3
Female,White,HighSchool,Catholic,Democrat,Favor,5,No,Favor,46,3
Male,White,Bachelor,Other,Democrat,Favor,2,No,Favor,36,2
Female,White,HighSchool,Other,Independent,Oppose,4,No,Favor,26,1
Female,White,Bachelor,Jewish,Independent,Favor,1,No,Oppose,44,2
Female,White,HighSchool,Protestant,Independent,Favor,8,No,Favor,47,4
Female,White,HighSchool,Other,Independent,Favor,0,No,Favor,55,4
